Method: GET | URL: / | Status: 304 | Duration: 323ms | Time: Tuesday, 23 Jun 2026, 2:50 am
Method: GET | URL: /6 | Status: 304 | Duration: 288ms | Time: Tuesday, 23 Jun 2026, 2:51 am
Method: GET | URL: / | Status: 304 | Duration: 2712ms | Time: Tuesday, 23 Jun 2026, 2:51 am
Method: GET | URL: /3 | Status: 500 | Duration: 313ms | Time: Tuesday, 23 Jun 2026, 2:51 am
Method: GET | URL: /6 | Status: 304 | Duration: 2550ms | Time: Tuesday, 23 Jun 2026, 2:51 am
Method: GET | URL: / | Status: 304 | Duration: 306ms | Time: Tuesday, 23 Jun 2026, 2:51 am
Method: GET | URL: / | Status: 304 | Duration: 2789ms | Time: Tuesday, 23 Jun 2026, 2:53 am
Method: GET | URL: / | Status: 200 | Duration: 26ms | Time: Tuesday, 23 Jun 2026, 3:08 am
Method: GET | URL: /favicon.ico | Status: 404 | Duration: 2ms | Time: Tuesday, 23 Jun 2026, 3:08 am
Method: GET | URL: / | Status: 200 | Duration: 28ms | Time: Tuesday, 23 Jun 2026, 3:15 am
Method: GET | URL: / | Status: 200 | Duration: 28ms | Time: Tuesday, 23 Jun 2026, 3:15 am
Method: POST | URL: /login | Status: 200 | Duration: 564ms | Time: Wednesday, 24 Jun 2026, 1:45 am
Method: GET | URL: / | Status: 200 | Duration: 29ms | Time: Wednesday, 24 Jun 2026, 1:49 am
Method: GET | URL: / | Status: 304 | Duration: 1ms | Time: Wednesday, 24 Jun 2026, 1:49 am
Method: GET | URL: / | Status: 304 | Duration: 0ms | Time: Wednesday, 24 Jun 2026, 1:49 am
Method: GET | URL: / | Status: 304 | Duration: 1ms | Time: Wednesday, 24 Jun 2026, 1:49 am
Method: GET | URL: / | Status: 200 | Duration: 1ms | Time: Wednesday, 24 Jun 2026, 1:49 am
Method: GET | URL: /favicon.ico | Status: 404 | Duration: 2ms | Time: Wednesday, 24 Jun 2026, 1:49 am
Method: GET | URL: / | Status: 200 | Duration: 1802ms | Time: Wednesday, 24 Jun 2026, 1:50 am
Method: GET | URL: / | Status: 304 | Duration: 36ms | Time: Wednesday, 24 Jun 2026, 1:51 am
Method: GET | URL: /6 | Status: 200 | Duration: 2354ms | Time: Wednesday, 24 Jun 2026, 1:51 am
Method: GET | URL: / | Status: 304 | Duration: 1ms | Time: Wednesday, 24 Jun 2026, 1:53 am
Method: GET | URL: / | Status: 200 | Duration: 1ms | Time: Wednesday, 24 Jun 2026, 1:54 am
Method: GET | URL: /favicon.ico | Status: 404 | Duration: 2ms | Time: Wednesday, 24 Jun 2026, 1:54 am
Method: GET | URL: / | Status: 304 | Duration: 1ms | Time: Wednesday, 24 Jun 2026, 1:54 am
Method: GET | URL: / | Status: 304 | Duration: 1ms | Time: Wednesday, 24 Jun 2026, 1:54 am
Method: GET | URL: / | Status: 401 | Duration: 19ms | Time: Wednesday, 24 Jun 2026, 1:56 am
Method: GET | URL: / | Status: 401 | Duration: 2ms | Time: Wednesday, 24 Jun 2026, 1:56 am
Method: GET | URL: / | Status: 401 | Duration: 1ms | Time: Wednesday, 24 Jun 2026, 1:56 am
Method: GET | URL: / | Status: 200 | Duration: 285ms | Time: Wednesday, 24 Jun 2026, 1:56 am
Method: GET | URL: / | Status: 401 | Duration: 1ms | Time: Wednesday, 24 Jun 2026, 1:56 am
Method: GET | URL: / | Status: 401 | Duration: 1ms | Time: Wednesday, 24 Jun 2026, 1:56 am
Method: GET | URL: / | Status: 401 | Duration: 1ms | Time: Wednesday, 24 Jun 2026, 1:56 am
Method: GET | URL: / | Status: 401 | Duration: 1ms | Time: Wednesday, 24 Jun 2026, 1:56 am
Method: GET | URL: / | Status: 401 | Duration: 1ms | Time: Wednesday, 24 Jun 2026, 1:56 am
Method: GET | URL: / | Status: 401 | Duration: 1ms | Time: Wednesday, 24 Jun 2026, 1:57 am
Method: POST | URL: /login | Status: 500 | Duration: 1783ms | Time: Wednesday, 24 Jun 2026, 3:18 am
Method: POST | URL: / | Status: 201 | Duration: 1908ms | Time: Wednesday, 24 Jun 2026, 3:19 am
Method: GET | URL: /api/users/ | Status: 401 | Duration: 3ms | Time: Wednesday, 24 Jun 2026, 3:19 am
Method: POST | URL: /login | Status: 200 | Duration: 2557ms | Time: Wednesday, 24 Jun 2026, 3:19 am
Method: GET | URL: /api/users | Status: 500 | Duration: 2321ms | Time: Wednesday, 24 Jun 2026, 3:20 am
Method: GET | URL: /api/users/ | Status: 401 | Duration: 2ms | Time: Wednesday, 24 Jun 2026, 3:20 am
Method: GET | URL: /1 | Status: 200 | Duration: 2369ms | Time: Wednesday, 24 Jun 2026, 3:20 am
Method: GET | URL: /api/users | Status: 500 | Duration: 2328ms | Time: Wednesday, 24 Jun 2026, 3:21 am
